Season,Role,First Name,Last Name,Sport,Enrollment Status,Nomination Approved,Nomination Claimed,Carding Level,Level Category,Sex of Competition,Nccp Number,Full Name
Summer,Athlete,Ben,Greenstein,Rugby,,True,False,D,Canadian Elite,,,Ben Greenstein
Summer,Athlete,Benjamin,Greenstein,Rugby,,True,False,D,Canadian Elite,,,Benjamin Greenstein
Summer,Athlete,Akash,Grewal,Beach Volleyball,Active,True,True,D,Canadian Elite,Female,,Akash Grewal
Winter,Athlete,Alexis,Guimond,Para Alpine Ski,Incomplete,True,False,SR1,Canadian Elite,Male,,Alexis Guimond
Winter,Athlete,Calla,Haaheim,Speed Skating,Active,True,True,C1,Canadian Elite,Female,,Calla Haaheim
Summer,Athlete,Sheriauna,Haase,Para Athletics,,True,False,SRI,Canadian Elite,,,Sheriauna Haase
Winter,Athlete,Kiersten,Hagen,Speed Skating,,True,False,C1,Canadian Elite,,,Kiersten Hagen
Summer,Athlete,Ben,Hagkull,Wheelchair Basketball,Active,True,True,D,Canadian Elite,Male,,Ben Hagkull
Winter,Athlete,Sandrine,Hamel,Para Snowboard,,True,False,SR1,Canadian Elite,,,Sandrine Hamel
Winter,Athlete,Julia,Hamilton,Skeleton,Active,True,True,D,Canadian Elite,Female,,Julia Hamilton
Winter,Athlete,Kieran,Hansen,Speed Skating,,True,False,C1,Canadian Elite,,,Kieran Hansen
Winter,Athlete,Maria,Hansen,Speed Skating,,True,False,C1,Canadian Elite,,,Maria Hansen
Summer,Athlete,Rowan,Harris,Field Hockey,Active,True,True,SR1,Canadian Elite,Female,,Rowan Harris
Summer,Athlete,Eleanor,Harvey,Fencing,Incomplete,True,False,SR1,Canadian Elite,Female,,Eleanor Harvey
Summer,Athlete,Abdullahi,Hassan,Athletics,Active,True,False,SR,Canadian Elite,Male,,Abdullahi Hassan
Winter,Athlete,Niamh,Haughey,Bobsleigh,Active,True,False,SR,Canadian Elite,Female,,Niamh Haughey
Summer,Athlete,Hannah,Haughn,Field Hockey,Active,True,True,SRI,Canadian Elite,Female,,Hannah Haughn
Summer,Athlete,Bo,Hedges,Wheelchair Basketball,Active,True,True,SR,Canadian Elite,Male,,Bo Hedges
Summer,Athlete,Eric,Hedlin,Swimming,,True,False,GamePlan - Retired,Canadian Elite,,,Eric Hedlin
Winter,Athlete,Mark,Hendrickson,Freestyle Ski,Active,True,True,SR,Canadian Elite,Male,,Mark Hendrickson
Summer,Athlete,Jayden,Hibbert,Soccer,,True,False,SR,Canadian Elite,,,Jayden Hibbert
Winter,Athlete,Carolina,Hiller,Speed Skating,,True,False,SR1,Canadian Elite,,,Carolina Hiller
